account_no,stock_code
961–6628–4488-3,014820
277-26-535094,047050
67378090-575,004370
1153-4298,086790
944–3598–2550-0,017800
346–2511–0236-0,003670
47646559-174,009150
961–4121–8827-7,006260
1787-6521,051915
93232136-295,008770
60516966-46,022100
4714-8806,298050
262–0920–6342-8,055550
75524736-561,000150
0363-0435,375500
86392216-60,034730
839-23-828521,001440
09157354-29,026960
405-79-113430,195940
4388-6506,000100
3434-1848,079550
205–5331–1785-9,082740
3434-1848,012330
060900-438114,003620
69940390-265,065350
603–1960–7103-1,064760
402-27-380980,138040
012–0415–7264-6,004170
163990-515643,000250
125-20-018452,035250
76690231-791,012330
21982667-352,141080
4378-2795,192080
752–1267–4281-1,000240
2353-2411,042700
58000010-73,001450
168-17-097458,105560
44887696-82,088980
80211459-64,293490
58770203-51,298020
416257-975923,263750
110-23-630835,003090
471827-794898,001570
37563387-11,294870
505–9870–6272-5,064760
77657991-31,025900
99546275-11,316140
961–4121–8827-7,140410
377-81-712364,012750
61377941-723,009420
67378090-575,017670
765–1037–0720-9,067310
6484-2736,036930
99683170-87,272210
374–9320–7439-8,272210
91631617-44,326030
478-68-954915,204320
81428145-58,000210
033600-280125,005380
205–5331–1785-9,018670
3215-6393,241560
65234069-61,095340
700–4796–6416-1,004370
07890618-745,010140
480-30-333809,248070
32527268-129,403870
01097423-71,443060
956-65-465028,067310
72481549-32,402340
53626823-930,009970
5868-3191,004370
941348-199285,000080
1132-9572,096770
015-87-741911,079550
526–4982–0130-1,237690
807–7413–4523-9,006040
797117-646248,021240
2731-2728,003090
270232-578103,024110
18242596-303,237690
082601-686328,034230
480-30-333809,051900
668-67-619272,307950
060900-438114,010060
418–0611–3406-4,086280
06141965-589,166090
21762818-62,017670
040726-552086,009830
628-84-219333,192820
466-45-509807,005940
611977-053922,008930
037–4299–3003-8,096770
748–1450–6538-8,377300
876011-745290,078600
4714-8806,028670
549791-477974,011200
67378090-575,065350
0654-8904,036460
3800-5619,005387
281-96-286019,402340
124281-326338,138040
85005738-24,005300
467416-536245,007660
669–6108–3331-5,003230
624-14-061950,365340
17038329-23,034220
2379-0090,000810
939851-951805,395400
137-27-322415,282330
2802-9928,036570
14394334-462,002710
72965249-39,298020
797–8832–6230-1,030200
620-69-196475,055550
143531-214935,009540
81604242-557,055550
32527268-129,115450
420085-661975,175330
456-19-145134,108320
848–3158–5548-0,047810
611977-053922,033100
285-52-339020,001740
238959-979328,000660
098425-572739,012330
190–3600–1671-0,007310
936939-993002,006040
032-06-523913,281740
33218844-38,086520
28320714-517,012450
60909497-805,001040
426–6012–2857-8,066970
630-07-547492,089030
06264867-86,035760
647-97-272197,251270
853–6154–3898-5,006110
0069-0207,121600
21027222-335,307950
732–4973–2079-3,263750
69736784-623,000720
24315858-488,042700
9825-9471,140410
84014318-87,011780
06264867-86,336260
691346-945441,001120
82755515-689,138930
44350100-96,031980
383524-881209,089030
8055-5195,298020
230-71-279292,267250
749–4332–2027-8,307950
049–5923–0973-1,006400
27260469-950,112610
9226-8744,030000
740–1165–2435-4,005070
7294-7868,032640
88020664-28,294870
022–0704–3376-7,086900
863-96-651283,051600
789-60-751229,336260
14322092-49,010120
45732095-476,026960
99683170-87,007070
8007-0722,375500
980–3119–6218-8,001570
